State,Year,Baby Food,Bread & Cereal Products,Confectionery & Snacks,Convenience Food,Dairy Products & Eggs,Fish & Seafood,Fruits & Nuts,Meat,Oils & Fats,Pet Food,Sauces & Spices,Spreads & Sweeteners,Vegetables,Total,ARPC = Average revenue per capita,ARPC Baby food,ARPC Bread & Cereal Products,ARPC Confectionery & Snacks,ARPC Convenience Food,ARPC Dairy Products & Eggs,ARPC Fish & Seafood,ARPC Fruits & Nuts,ARPC Meat,ARPC Oils & Fats,ARPC Pet Food,ARPC Sauces & Spices,ARPC Spreads & Sweeteners,ARPC Vegetables,ARPC total,PPU = Price per unit,PPU Baby food,PPU Bread & Cereal Products,PPU Confectionery & Snacks,PPU Convenience Food,PPU Dairy Products & Eggs,PPU Fish & Seafood,PPU Fruits & Nuts,PPU Meat,PPU Oils & Fats,PPU Pet Food,PPU Sauces & Spices,PPU Spreads & Sweeteners,PPU Vegetables,PPU Average,Health outcomes,Obesity,Diabetes,Inactivity,Heart Disease,Life Expectancy,Degree,Income,Tobacco
Alabama,2021,1.58,42.14,72.3,17.7,99.3,2.79,49.25,42.76,13.14,38.14,12.51,12.2,58.78,462.6,,16.40,149.80,649.30,125.00,191.60,69.31,169.80,387.30,37.84,120.70,72.29,31.06,179.50,2200.00,,10.40,3.56,8.98,7.07,1.93,24.85,3.45,9.06,2.88,3.17,5.78,2.55,3.05,4.76,,36.1,14.5,29.3,247.5,75.55,37.71,50054,17.2
Alabama,2022,1.58,41.15,71.71,17.52,97.94,2.55,47.8,43.2,11.66,43.06,12.68,11.32,58.77,460.9,,17.55,159.20,703.50,132.20,209.70,73.27,181.90,443.30,39.39,145.80,78.41,31.80,200.70,2417.00,,11.13,3.87,9.81,7.55,2.14,28.76,3.81,10.26,3.38,3.39,6.19,2.81,3.42,5.24,,36.3,12.2,30.8,234.2,74.84,38.44,50920,15.6
Alabama,2023,1.56,42,72.13,17.59,99.03,2.68,47.77,43.81,12.37,45.03,12.7,12.38,58.89,467.9,,17.82,166.10,723.00,136.90,216.80,78.74,187.60,463.30,42.16,156.70,80.72,34.12,205.70,2510.00,,11.43,3.96,10.02,7.78,2.19,29.41,3.93,10.58,3.41,3.48,6.36,2.76,3.49,5.36,,39.3,13.0,27.8,,74.84,39.2,53175,
Alaska,2021,1.42,45.33,77.76,17.26,131.7,2.97,39.23,45.6,10.01,34.25,11.24,8.06,39.02,463.9,,14.77,166.30,720.80,133.00,267.00,74.60,210.20,416.80,42.60,108.70,65.09,26.68,226.40,2473.00,,10.43,3.67,9.27,7.71,2.03,25.08,5.36,9.14,3.71,3.17,5.79,3.31,5.80,5.33,,31.9,8.3,19.3,154.7,79.03,40.58,65596,17.1
Alaska,2022,1.38,44.7,77.9,17.3,134,2.71,37.39,45.91,9.27,37.54,11.05,7.61,37.23,464,,15.18,176.50,780.00,137.60,286.10,73.52,223.60,444.80,41.43,126.20,67.84,27.54,243.90,2644.00,,11.04,3.95,10.01,7.95,2.13,27.16,5.98,9.69,4.02,3.36,6.14,3.62,6.55,5.70,,30.7,7.1,21.6,145.7,78.62,40.73,68664,15.9
Alaska,2023,1.35,45.37,77.91,17.37,134.1,2.83,36.9,46.25,9.76,38.88,10.96,8.3,36.87,466.8,,15.31,182.70,795.30,141.80,294.10,77.99,227.90,459.00,43.79,134.70,69.37,29.60,247.10,2719.00,,11.38,4.03,10.21,8.16,2.19,27.59,6.18,9.92,4.07,3.46,6.33,3.57,6.70,5.82,,31.8,7.4,21.1,,78.62,40.91,71616,
Arizona,2021,1.66,42.08,72.18,13.57,105.8,2.93,40.22,44.92,8.38,40.13,13.17,6.03,69.35,460.4,,14.84,147.60,639.70,101.20,199.00,60.51,176.60,338.10,31.10,109.30,65.43,19.77,187.20,2090.00,,8.95,3.51,8.86,7.46,1.88,20.65,4.39,7.53,2.87,2.72,4.97,3.28,2.70,4.54,,27.9,9.6,21.2,158.3,79.99,40.49,56361,13.1
Arizona,2022,1.6,41.38,72.11,13.37,104.7,2.65,39.6,44.96,7.5,43.61,12.84,5.77,68.28,458.4,,15.51,152.80,675.20,112.20,211.10,60.69,190.20,367.20,30.12,129.00,69.33,20.48,200.60,2234.00,,9.72,3.69,9.36,8.39,2.02,22.89,4.80,8.17,3.37,2.96,5.40,3.55,2.94,4.87,,31.9,9.8,23.6,148.5,79.06,42.5,58390,12.7
Arizona,2023,1.59,41.52,71.3,13.29,104.3,2.77,39.63,45.37,7.83,46.06,12.99,6.31,68.87,461.8,,15.73,158.50,690.00,115.20,218.40,64.61,197.10,380.20,31.86,138.30,71.25,22.07,205.70,2309.00,,9.87,3.82,9.68,8.67,2.10,23.30,4.97,8.38,3.37,3.00,5.49,3.50,2.99,5.00,,31.5,9.7,21.6,,79.06,43.9,61652,
Arkansas,2021,1.56,43.66,74.9,16.79,117.4,3,43.98,46.04,13.57,37.76,12.39,13.02,71.19,495.3,,15.99,146.80,636.10,116.60,202.80,70.12,151.60,391.80,38.89,117.70,70.47,32.46,185.40,2177.00,,10.24,3.36,8.49,6.94,1.73,23.35,3.45,8.51,4.46,3.12,5.69,2.49,2.61,4.39,,35.0,13.5,30.4,231,76.05,33.7,51631,21.1
